obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""314.86107""","=""0.00004""","=""31750.844""","=""1000""","=""""",,"=""135888.7173""","=""167639.5697""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""""","=""L3451""",
"=""315.34107""","=""0.00004""","=""31702.516""","=""1000""","=""""",,"=""135888.7173""","=""167591.2335""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""""","=""L3451""",
"=""316.75762""","=""0.00004""","=""31560.747""","=""500""","=""""",,"=""135888.7173""","=""167449.4698""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""""","=""L3451""",
"=""320.6199""","=""0.0020""","=""31180.57""","=""10""","=""""",,"=""135888.7173""","=""167069.0791""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""320.7906""","=""0.0020""","=""31163.98""","=""100*""","=""""",,"=""135888.7173""","=""167052.6654""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""320.7906""","=""0.0020""","=""31163.98""","=""100*""","=""""",,"=""135888.7173""","=""167052.6415""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""335.17495""","=""0.00010""","=""29826.592""","=""250""","=""1.08e+04""",D,"=""134459.2871""","=""164285.8872""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",,"=""T2427""","=""L4498""",
"=""336.98076""","=""0.00005""","=""29666.763""","=""5000""","=""1.32e+05""",C,"=""134041.8400""","=""163708.6029""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""336.99069""","=""0.00005""","=""29665.889""","=""7000""","=""7.1e+05""",C,"=""134041.8400""","=""163707.7261""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""337.56489""","=""0.00005""","=""29615.428""","=""500""","=""2.20e+05""",D+,"=""134041.8400""","=""163657.2726""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",,"=""T3163""","=""L3451""",
"=""341.79031""","=""0.00005""","=""29249.316""","=""5000""","=""8.7e+05""",C,"=""134459.2871""","=""163708.6029""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""341.80052""","=""0.00011""","=""29248.442""","=""500""","=""2.78e+05""",C,"=""134459.2871""","=""163707.7261""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L5951""",
"=""342.39120""","=""0.00005""","=""29197.985""","=""500""","=""1.00e+05""",D+,"=""134459.2871""","=""163657.2726""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",,"=""T3163""","=""L3451""",
"=""344.77022""","=""0.00005""","=""28996.516""","=""2000""","=""2.13e+06""",C+,"=""134041.8400""","=""163038.3544""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""345.07641""","=""0.00005""","=""28970.788""","=""500""","=""4.70e+05""",C,"=""134041.8400""","=""163012.6247""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""345.41942""","=""0.00005""","=""28942.020""","=""1000""","=""3.68e+06""",C,"=""134459.2871""","=""163401.3061""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L3451""",
"=""346.05235""","=""0.00005""","=""28889.087""","=""1000""","=""7.5e+05""",C,"=""134818.6405""","=""163707.7261""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L3451""",
